Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
Foliage projective cover 2010 - Charleville,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3773ACAC-912A-4A08-9BA9-5A6AD259859D},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Charters Towers,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0C98A290-F74E-4788-B7CB-8810C252673E},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Chinchilla,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={73E94B55-6CA7-4F51-B1D0-7E8AC36695B5},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Cloncurry,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={944E823B-8606-448E-A786-C501F91ADB0E},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Cooktown,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={83A2C999-8929-481F-8FC6-B36113FC2B0D},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Cunnamulla,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1A7A6257-65A9-449B-8A55-252439C00FBD},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Delta Downs,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={36DE16C6-54A2-4B56-944F-942402B5D969},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Dirranbandi,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3C8F0B9C-67B0-432C-A740-CBFF2B86D198},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Doomadgee,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AC349C91-17A4-4159-9ECD-5A5B60D4037D},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Dynamite Creek,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={85B93F14-5D14-44AC-B08E-D8254843F469},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Emerald,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D3F4CEE3-83A5-44CE-8BFE-8D337C01D093},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Eromanga,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4775FFBD-48BE-4C77-9A59-2205BF8797C2},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Fraser Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={45DE2FE7-A36F-457E-B364-189319396FE6},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Georgetown,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BE9200AA-D054-4708-A40B-890BB83046CE},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Gladstone,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7E1F27ED-B90D-4CE5-A21A-E4546FE02EA2},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Glenormiston,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0F055444-5193-423F-85E7-A5072B58462A},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Gold Coast,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A91D20D0-1CCE-4285-A3A4-FBFBEDAE41F3},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Goondiwindi,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D396A335-D3EA-49C4-AE06-DB3F7AEDEB69},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Gunpowder,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BF7E43B8-FFE1-4DA6-A0E5-15C71ACE790F},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Haddon Corner,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F59D1C4D-60D7-4145-8B55-7E7AF266EE52},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Hughenden,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B1F41892-32E3-4326-80BD-6CF9E3983809},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Ingham,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EA6F8810-D08E-4FE2-BCAD-088523D4ECA5},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Injune,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C1EB048B-8C41-43E4-A567-F41B6C7AFCB5},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Iron Range National Park,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CA6AF3BE-4E01-4457-B754-12B4E2774987},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Isisford,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={09CDC329-5D15-4027-A7EB-FDED46F960AB},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Kalinga,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3230625A-78D6-4253-A61F-5DB88E959234},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Kingaroy,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EF67C54F-DBC1-42B2-9B0C-47DDB02F767F},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Kowanyama,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C6D7C39D-1D68-4C1A-AE5A-AC8F7C28C356},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Kynuna,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AE0A65D4-0479-45F9-A49D-94E785142F66},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Lady Musgrave,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={003E1976-6E12-41D7-9232-3CF09477BAB5},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Laglan,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BA60BCF2-2523-43DA-9E24-DF633EAAADDB},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Mackay,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F5B5A429-5B32-40EF-804C-C3ED66B16032},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Monto,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B7C77E02-93B6-4FA5-B756-7BF8B7622A6F},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Moranbah,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={16EE8ED2-633A-4761-99E4-E3DC8A5AD4D5},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Mornington Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={330F60B4-82B7-48F8-9119-BE6C2FDF5338},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Morven,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8DFB154D-332D-4155-95A9-18679165E6A9},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Mt Coolan,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5FDE0611-DE83-41D2-A78B-247057ABB959},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Mt Dot,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5241BCCC-06D8-441A-BACF-E49DD6772DDB},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Mt Garnet,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A21506FD-222D-450B-BAEC-24C9C5C3E7FA},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Mt Isa,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C2804F0C-EFA0-425F-B8B7-396C303D232D},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Normanton,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={03EC5A7B-93CB-4E79-A00E-B1674DA854FD},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Oak Valley,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8872A713-D31A-4A7A-B83A-F26EF7963477},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Pentland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2B232B5B-7832-4515-B1A9-63F4C7DE97EA},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Poeppel Corner,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6C26D811-7813-4004-923C-2B6BB7C5D425},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Princess Charlotte,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F79C4550-3B03-46E5-9EC0-A73E9F8FAE9D},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Quilpie,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E210922B-EDF4-4EE3-B1B3-11FB9443A2C7},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Roma,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5D84A9ED-DFCA-4BEF-BDE4-D70A64628193},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Sarina,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6B1B8B2C-C02C-4A6E-9871-3ECE59B0A543},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - St Lawrence,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={62141F1B-99B6-4121-B12E-A48191AD85EE},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Stonehenge,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={ABB93F8D-BEB6-4418-BC33-EB8AFA383642},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
